yaw: -167.67751936397732, pitch: 27.700068591433435, roll: 9.245377929377838
yaw: -167.34023843874397, pitch: 27.067447632009024, roll: 9.724399152393746
yaw: -167.75898951003347, pitch: 27.08967825960072, roll: 9.788625567547276
yaw: -167.1469401955519, pitch: 27.152483382249684, roll: 9.543332964218724
yaw: -167.1982958235731, pitch: 26.02682547649114, roll: 9.232945662434155
yaw: -167.32278952962207, pitch: 26.07887345289718, roll: 8.752432738655454
yaw: -168.07397837414427, pitch: 25.981048785461784, roll: 7.9652365540963235
yaw: -168.0368880692628, pitch: 26.391633330029187, roll: 7.609982761065604
yaw: -167.5946144094054, pitch: 26.832315547644058, roll: 7.970803188656169
yaw: -168.38344155098025, pitch: 26.920043623296852, roll: 9.092419733470367
yaw: -167.8037039426212, pitch: 28.38407667184784, roll: 10.18107456146838
yaw: -168.3136341009378, pitch: 29.346720734820902, roll: 10.604218817067016
yaw: -167.8370916602654, pitch: 29.511362931716217, roll: 11.308478800234997
yaw: -168.2390149297298, pitch: 29.676526700401794, roll: 11.195013659437818
yaw: -167.61130495246115, pitch: 29.315852442828252, roll: 11.242074674367759
yaw: -167.16384452402497, pitch: 30.398542655219227, roll: 11.314278168571347
yaw: -166.90222656535514, pitch: 30.36127118739152, roll: 11.299544175607979
yaw: -167.47460890235428, pitch: 30.82961747216345, roll: 11.67469460026657
yaw: -166.7738940467476, pitch: 30.558004245818566, roll: 12.162110309181182
yaw: -166.38379546948028, pitch: 30.885292599689688, roll: 12.65656475307657
yaw: -165.36850912632156, pitch: 31.528019573313838, roll: 13.749157198318944
yaw: -165.56818411505876, pitch: 30.89618303161799, roll: 14.123535948010272
yaw: -165.89892324958183, pitch: 30.87820971228188, roll: 14.418177482261669
yaw: -164.56181360655754, pitch: 31.213998217213902, roll: 15.139601686070831
yaw: -165.64412206913724, pitch: 30.96597620047409, roll: 15.372069567639874
yaw: -166.80754632348916, pitch: 31.144385908664756, roll: 15.299580122430271
yaw: -166.65856375515358, pitch: 31.376762212996987, roll: 15.189048640454923
yaw: -167.35014395314917, pitch: 30.529794727934373, roll: 14.822531550627753
yaw: -168.2527130298466, pitch: 30.344439876445616, roll: 14.45131662838756
yaw: -168.54225728126656, pitch: 29.58567866576634, roll: 14.17249526063291
yaw: -168.73203777528872, pitch: 28.580291373058632, roll: 14.03897293453303
yaw: -168.8999239515503, pitch: 28.290573484249812, roll: 14.11529078525175
yaw: -169.3055091476886, pitch: 27.807173338860405, roll: 13.914468732752509
yaw: -168.33087803302996, pitch: 26.485482403498327, roll: 14.327497417031095
yaw: -168.31843557967798, pitch: 26.395735363985793, roll: 14.623481890616329
yaw: -167.65205814215597, pitch: 25.640877920445217, roll: 14.532278631167825
yaw: -168.8395691533961, pitch: 25.583764525294853, roll: 13.356544695864104
yaw: -170.12629758899666, pitch: -25.287378353644346, roll: 4.091379737239731
yaw: -170.88858963675565, pitch: -25.77732450454784, roll: 3.9907654973843503
yaw: -169.91977623719524, pitch: -23.582273040872394, roll: 3.4494730570715864
yaw: -170.03360449693423, pitch: -23.833422121128052, roll: 3.4635761285884112
yaw: -169.94759068037354, pitch: -23.11413256670832, roll: 3.502651250196183
yaw: -169.95492849014283, pitch: -22.979262347207094, roll: 3.935794981014005
yaw: -170.67345380744712, pitch: -23.168820384828823, roll: 4.246404701423821
yaw: -170.45290946830548, pitch: -23.928737003096582, roll: 4.0552792454846855
yaw: -169.79072688357508, pitch: -23.375229209134666, roll: 3.8280359436348372
yaw: -169.44291386618903, pitch: -22.469691973722625, roll: 3.7915342672781613
yaw: -168.78745797091682, pitch: -22.37086769303418, roll: 3.2962059734377767
yaw: -167.69962392951805, pitch: -21.803272075014572, roll: 2.8519157777727497
yaw: -167.61688354163368, pitch: -22.026965768645848, roll: 2.7690256989166246
yaw: -166.1742109148631, pitch: -22.080900948549505, roll: 2.2738599554073
yaw: -165.51028770508753, pitch: -21.918914711331, roll: 1.7870387984124418
yaw: -164.82800067740754, pitch: -21.67477253194314, roll: 1.3491518974472363
yaw: -164.08621421404555, pitch: -21.741681887862402, roll: 0.794994541562072
yaw: -164.16188579573765, pitch: -21.11050963220314, roll: 0.677937828051805
yaw: -163.84560224320504, pitch: -21.650962967732706, roll: 0.8961676476749458
yaw: -163.78141379505175, pitch: -21.0691171157518, roll: 0.8124155940147119
yaw: -164.20726598871587, pitch: -21.518657890866805, roll: 0.7539757792919813
yaw: -164.1244167709426, pitch: -21.63732052189183, roll: 0.8013151152781898
yaw: -164.759257286207, pitch: -21.0419458680689, roll: 1.1876710224389593
yaw: -165.11895865161367, pitch: -21.165937596980008, roll: 1.1999511947114103
yaw: -164.8473283060032, pitch: -21.236248742050524, roll: 1.033077426531975
yaw: -165.56821342658105, pitch: -21.3892850990837, roll: 1.0018523360256157
yaw: -166.11354746429893, pitch: -21.036400635986677, roll: 1.0538588856831426
yaw: -167.195220459469, pitch: -21.46639824690872, roll: 1.4308141833932342
yaw: -167.2718176323582, pitch: -21.614920995406575, roll: 1.5547763227983016
yaw: -167.8356394461649, pitch: -22.86977462495258, roll: 1.8394567949902545
yaw: -168.399621962467, pitch: -23.54436432291372, roll: 2.0820755745215793
yaw: -168.45451026624704, pitch: -24.105371884971074, roll: 1.8039460041881115
yaw: -168.82610987620362, pitch: -24.397014753754576, roll: 1.8142148629653947
yaw: -168.2057093355132, pitch: -24.61061535977804, roll: 1.527764456685313
yaw: -169.2497504118412, pitch: -25.036461183124928, roll: 1.441351147852986
yaw: -169.35380367235365, pitch: -24.70714806467653, roll: 1.500631788662627
yaw: -169.287673740259, pitch: -24.37402638227893, roll: 1.2885729850918985
yaw: -168.95890910545788, pitch: -24.085834991211303, roll: 0.963875891915145
yaw: -168.2214014729916, pitch: -23.967835729788128, roll: 0.5167745262343522
yaw: -168.2174761129996, pitch: -23.744108508451756, roll: 0.12454458035830573
yaw: -167.94524173284344, pitch: -23.926173208336614, roll: -0.4167585612259907
yaw: -167.66492319185107, pitch: -23.105166834502054, roll: -0.5361202266924108
yaw: -167.75569227341782, pitch: -23.644288883243856, roll: -0.6672510707231272
yaw: -166.89472641471153, pitch: -23.954213415732276, roll: -1.2003704541042484
yaw: -167.2012948547901, pitch: -23.105715151416614, roll: -1.4742934629085198
yaw: -170.5446423344107, pitch: 24.14024227569498, roll: 6.809937589850643
yaw: -149.4147392242753, pitch: 43.81867886807347, roll: 34.977466798899115
yaw: -150.8815189994907, pitch: 43.12994987666737, roll: 34.303091087706555
yaw: -151.337814508161, pitch: 41.45469480908847, roll: 34.04368759653864
yaw: -151.2494137777961, pitch: 42.59474474316955, roll: 33.04451750219331
yaw: -149.57498414150652, pitch: 44.59683823923938, roll: 33.59701914783378
yaw: -150.93442737803525, pitch: 42.903005955809256, roll: 32.44923976713569
yaw: -152.46135979982134, pitch: 40.60054545786135, roll: 31.932906436559705
yaw: -152.99516485675122, pitch: 39.57073307292865, roll: 31.81326324670503
yaw: -151.64365357729122, pitch: 39.14106707782466, roll: 31.86230516639396
yaw: -149.032931801172, pitch: 37.840094543168036, roll: 32.58660292827031
yaw: -146.76787856394054, pitch: 37.339805587845575, roll: 33.429939026515086
yaw: -144.683724227578, pitch: 36.67300583164408, roll: 33.76615349560096
yaw: -144.3725187545718, pitch: 36.18648736762644, roll: 33.13086454580865
yaw: -143.83487424457894, pitch: 35.20142227739397, roll: 32.56386252273754
yaw: -144.12964968609216, pitch: 35.394724039697785, roll: 32.14836357919597
yaw: -144.2252153077461, pitch: 35.46495308613264, roll: 32.0910407138038
yaw: -143.870372730619, pitch: 35.47513480346135, roll: 32.39888099825713
yaw: -142.90852676199214, pitch: 36.79322286909301, roll: 33.66185342963742
yaw: -141.81274927783807, pitch: 37.891259005961146, roll: 34.58552108895968
yaw: -140.78184642618785, pitch: 39.05350093950744, roll: 35.55701004553926
yaw: -139.8737143295949, pitch: 40.47229631725035, roll: 36.20487878157949
yaw: -139.37821513900843, pitch: 42.04363333884113, roll: 36.98234704479016
yaw: -139.26579408432676, pitch: 43.50035280820249, roll: 37.18341825193067
yaw: -140.4512305613344, pitch: 45.30205199647008, roll: 36.398598548633366
yaw: -142.2431162949381, pitch: 46.71364465661902, roll: 35.55694796537764
yaw: -146.66038596949647, pitch: 49.27835996841348, roll: 33.221947914950015
yaw: -148.65505203653288, pitch: 50.262764056126635, roll: 32.273639743680455
yaw: -150.30551475147792, pitch: 50.78324491025049, roll: 31.154400313679066
yaw: -151.4006796925515, pitch: 50.90648295082287, roll: 29.953648118366655
yaw: -151.5037564369711, pitch: 50.968098118448594, roll: 29.438821839308034
yaw: -151.0245044688045, pitch: 51.50380095618768, roll: 28.92537239583472
yaw: -150.4590078485498, pitch: 51.68025929404205, roll: 28.39877121060647
yaw: -149.75385299011606, pitch: 52.004373469961365, roll: 28.048309148259758
yaw: -148.37702907074535, pitch: 52.7956251580641, roll: 28.44001470354368
yaw: -147.3790052375808, pitch: 53.2098393609555, roll: 28.54751877821395
yaw: -147.90908113331295, pitch: 53.003906048650194, roll: 27.409094767302125
yaw: -148.7535341478425, pitch: 53.66111691361054, roll: 26.76774113179156
yaw: -149.5130815051784, pitch: 53.77123432280739, roll: 26.968390106353716
yaw: -151.6402828086251, pitch: 53.99540051657328, roll: 26.375746251088465
yaw: -153.1697019327337, pitch: 53.45509776566977, roll: 26.045089412239466
yaw: -153.53602914817392, pitch: 53.21640201089603, roll: 25.73854962506415
yaw: -152.92750431928613, pitch: 53.249013899189514, roll: 25.825926693565634
yaw: -150.2782103055318, pitch: 53.953406096964144, roll: 25.81266632466029
yaw: -149.85012934924356, pitch: 53.449763941031094, roll: 25.176941755282822
yaw: -149.9735935323933, pitch: 52.59014358923951, roll: 24.534066540999568
yaw: -150.35977243868686, pitch: 52.99334972183951, roll: 24.77549849465799
yaw: -150.61256292516688, pitch: 53.79372780293159, roll: 25.30642233563
yaw: -151.17349105449625, pitch: 53.58496847018524, roll: 25.428580107520588
yaw: -151.5613524388103, pitch: 53.63625714434825, roll: 25.690926869411697
yaw: -151.4260281113251, pitch: 53.45129250318869, roll: 26.131094110310375
yaw: -151.88133750846612, pitch: 52.6568449411707, roll: 25.754121328532936
yaw: -151.74595264400676, pitch: 52.77867830526703, roll: 25.69670949117845
yaw: -151.32353036865288, pitch: 53.15806144896911, roll: 26.112448905664547
yaw: -151.9701603548647, pitch: 52.559063196052996, roll: 25.632970571905183
yaw: -152.19287280513007, pitch: 52.49243702207855, roll: 25.580099368230144
yaw: -152.52917608843597, pitch: 51.93375713944027, roll: 25.212152614344145
yaw: -152.07492201749017, pitch: 52.10394722434087, roll: 25.13954954159576
yaw: -151.4223967256561, pitch: 52.08947157926889, roll: 25.25750028508713
yaw: -151.2347622546204, pitch: 51.91163066489131, roll: 25.375018126026866
yaw: -151.2408472646964, pitch: 51.92918491397522, roll: 25.308131991575646
yaw: -151.76325448832122, pitch: 51.82751562181471, roll: 24.97233412609144
yaw: -152.64103278678607, pitch: 52.1447439660479, roll: 24.6810276028
yaw: -153.37238326682188, pitch: 52.204369227554245, roll: 24.44484208865352
yaw: -153.43315252217107, pitch: 52.1340995891977, roll: 24.38120014986246
yaw: -153.10823372143045, pitch: 52.55320387517091, roll: 24.271310218662673
